1480,-20.99605179
1480.001,-20.99751282
1480.002,-20.98619461
1480.003,-20.98318863
1480.004,-20.96705246
1480.005,-20.95447922
1480.006,-20.94811249
1480.007,-20.94424438
1480.008,-20.94016647
1480.009,-20.93684769
1480.01,-20.93077469
1480.011,-20.93199539
1480.012,-20.92929077
1480.013,-20.9337883
1480.014,-20.93842697
1480.015,-20.94388199
1480.016,-20.95106506
1480.017,-20.95295715
1480.018,-20.95862579
1480.019,-20.95978165
1480.02,-20.96062469
1480.021,-20.97099686
1480.022,-20.97978592
1480.023,-21.00395584
1480.024,-21.01577377
1480.025,-21.03776932
1480.026,-21.05003738
1480.027,-21.07165909
1480.028,-21.08415604
1480.029,-21.09467316
1480.03,-21.1196022
1480.031,-21.13939667
1480.032,-21.15869904
1480.033,-21.18906784
1480.034,-21.20888138
1480.035,-21.23230362
1480.036,-21.23686218
1480.037,-21.24102783
1480.038,-21.2456398
1480.039,-21.2367897
1480.04,-21.23867798
1480.041,-21.23596573
1480.042,-21.22977448
1480.043,-21.23230362
1480.044,-21.22394943
1480.045,-21.22291183
1480.046,-21.21588135
1480.047,-21.20808411
1480.048,-21.19406509
1480.049,-21.17866135
1480.05,-21.17409515
1480.051,-21.15168381
1480.052,-21.13989258
1480.053,-21.12147903
1480.054,-21.11433411
1480.055,-21.09492111
1480.056,-21.08186722
1480.057,-21.07728195
1480.058,-21.0658226
1480.059,-21.05777359
1480.06,-21.04096222
1480.061,-21.03075409
1480.062,-21.01362991
1480.063,-20.99969864
1480.064,-20.98301697
1480.065,-20.97888184
1480.066,-20.96759415
1480.067,-20.96392822
1480.068,-20.96360397
1480.069,-20.96353912
1480.07,-20.95957565
1480.071,-20.95626068
1480.072,-20.94988632
1480.073,-20.94384003
1480.074,-20.94953918
1480.075,-20.95030594
1480.076,-20.95126724
1480.077,-20.95711899
1480.078,-20.95628738
1480.079,-20.95233154
1480.08,-20.95147324
1480.081,-20.9523201
1480.082,-20.9511528
1480.083,-20.95656586
1480.084,-20.95695114
1480.085,-20.96784973
1480.086,-20.96947861
1480.087,-20.97748947
1480.088,-20.97932816
1480.089,-20.98406982
1480.09,-20.99404526
1480.091,-20.99985886
1480.092,-21.0055275
1480.093,-21.02170944
1480.094,-21.03964996
1480.095,-21.0411644
1480.096,-21.05591965
1480.097,-21.06373978
1480.098,-21.06703568
1480.099,-21.07904434
1480.1,-21.08323288
1480.101,-21.09239578
1480.102,-21.09523392
1480.103,-21.10401917
1480.104,-21.11006165
1480.105,-21.12614059
1480.106,-21.12797546
1480.107,-21.13514328
1480.108,-21.14586258
1480.109,-21.14445496
1480.11,-21.14523315
1480.111,-21.1439476
1480.112,-21.1558876
1480.113,-21.14979935
1480.114,-21.15714645
1480.115,-21.14689636
1480.116,-21.15435791
1480.117,-21.14239883
1480.118,-21.13375854
1480.119,-21.13623047
1480.12,-21.12664032
1480.121,-21.11836243
1480.122,-21.10916519
1480.123,-21.10263443
1480.124,-21.08976746
1480.125,-21.07840729
1480.126,-21.05859756
1480.127,-21.04372406
1480.128,-21.02988052
1480.129,-21.01677322
1480.13,-21.00302505
1480.131,-20.99615097
1480.132,-20.9900589
1480.133,-20.99203491
1480.134,-20.99586868
1480.135,-20.99860001
1480.136,-21.00406265
1480.137,-21.00278854
1480.138,-21.01000214
1480.139,-21.01824188
1480.14,-21.0317421
1480.141,-21.04899216
1480.142,-21.06591034
1480.143,-21.07872772
1480.144,-21.08551407
1480.145,-21.08584976
1480.146,-21.08976746
1480.147,-21.10666275
1480.148,-21.11270523
1480.149,-21.12355042
1480.15,-21.13077927
1480.151,-21.14850235
1480.152,-21.14729691
1480.153,-21.14881897
1480.154,-21.15945053
1480.155,-21.15765381
1480.156,-21.1639061
1480.157,-21.17203903
1480.158,-21.18100357
1480.159,-21.17363358
1480.16,-21.17625809
1480.161,-21.18476105
1480.162,-21.19214249
1480.163,-21.18381882
1480.164,-21.17459488
1480.165,-21.18283081
1480.166,-21.18317032
1480.167,-21.17854309
1480.168,-21.18677139
1480.169,-21.19309616
1480.17,-21.1930275
1480.171,-21.19677353
1480.172,-21.18937683
1480.173,-21.17067719
1480.174,-21.17964935
1480.175,-21.17615891
1480.176,-21.17132568
1480.177,-21.1697464
1480.178,-21.16213226
1480.179,-21.15985107
1480.18,-21.15462875
1480.181,-21.13790512
1480.182,-21.14208603
1480.183,-21.13787079
1480.184,-21.13524246
1480.185,-21.12651062
1480.186,-21.11711884
1480.187,-21.10471725
1480.188,-21.10006714
1480.189,-21.08724594
1480.19,-21.08469009
1480.191,-21.08040619
1480.192,-21.07985306
1480.193,-21.08000183
1480.194,-21.07995987
1480.195,-21.07409668
1480.196,-21.06466293
1480.197,-21.05643463
1480.198,-21.04848099
1480.199,-21.04191971
1480.2,-21.03779602
1480.201,-21.03777313
1480.202,-21.03890228
1480.203,-21.04582596
1480.204,-21.05537033
1480.205,-21.06290054
1480.206,-21.06878662
1480.207,-21.07867813
1480.208,-21.08937454
1480.209,-21.10821915
1480.21,-21.12642288
1480.211,-21.14403534
1480.212,-21.16136932
1480.213,-21.18074799
1480.214,-21.19238281
1480.215,-21.20187759
1480.216,-21.21950912
1480.217,-21.23191071
1480.218,-21.24582291
1480.219,-21.25563812
1480.22,-21.27447891
1480.221,-21.2807312
1480.222,-21.29022598
1480.223,-21.29715347
1480.224,-21.30265427
1480.225,-21.30751419
1480.226,-21.30783463
1480.227,-21.32204437
1480.228,-21.31912994
1480.229,-21.31373978
1480.23,-21.31442642
1480.231,-21.29977036
1480.232,-21.29224014
