Wavelength,Intensity
1618.328446,0
1618.475073,11
1618.621701,0
1618.768328,16
1618.914956,11
1619.061584,30
1619.208211,5
1619.354839,0
1619.501466,30
1619.648094,5
1619.794721,14
1619.941349,0
1620.087977,0
1620.234604,11
1620.381232,0
1620.527859,4
1620.674487,0
1620.821114,0
1620.967742,1
1621.11437,0
1621.260997,7
1621.407625,10
1621.554252,0
1621.70088,4
1621.847507,11
1621.994135,1
1622.140762,0
1622.28739,0
1622.434018,9
1622.580645,13
1622.727273,24
1622.8739,12
1623.020528,0
1623.167155,11
1623.313783,28
1623.460411,8
1623.607038,11
1623.753666,18
1623.900293,17
1624.046921,21
1624.193548,19
1624.340176,15
1624.486804,5
1624.633431,15
1624.780059,20
1624.926686,22
1625.073314,0
1625.219941,5
1625.366569,18
1625.513196,21
1625.659824,20
1625.806452,7
1625.953079,0
1626.099707,13
1626.246334,34
1626.392962,9
1626.539589,1
1626.686217,0
1626.832845,9
1626.979472,13
1627.1261,7
1627.272727,17
1627.419355,0
1627.565982,15
1627.71261,17
1627.859238,5
1628.005865,2
1628.152493,4
1628.29912,28
1628.445748,0
1628.592375,0
1628.739003,17
1628.88563,0
1629.032258,13
1629.178886,1
1629.325513,17
1629.472141,9
1629.618768,10
1629.765396,0
1629.912023,0
1630.058651,5
1630.205279,0
1630.351906,14
1630.498534,0
1630.645161,8
1630.791789,21
1630.938416,30
1631.085044,13
1631.231672,0
1631.378299,21
1631.524927,0
1631.671554,21
1631.818182,13
1631.964809,2
1632.111437,0
1632.258065,0
1632.404692,11
1632.55132,18
1632.697947,21
1632.844575,11
1632.991202,1
1633.13783,14
1633.284457,15
1633.431085,27
1633.577713,0
1633.72434,0
1633.870968,13
1634.017595,11
1634.164223,18
1634.31085,13
1634.457478,0
1634.604106,7
1634.750733,0
1634.897361,32
1635.043988,0
1635.190616,27
1635.337243,0
1635.483871,24
1635.630499,14
1635.777126,9
1635.923754,33
1636.070381,25
1636.217009,31
1636.363636,28
1636.510264,1
1636.656891,25
1636.803519,0
1636.950147,22
1637.096774,31
1637.243402,22
1637.390029,17
1637.536657,0
1637.683284,16
1637.829912,26
1637.97654,13
1638.123167,14
1638.269795,0
1638.416422,25
1638.56305,0
1638.709677,3
1638.856305,18
1639.002933,0
1639.14956,15
1639.296188,2
1639.442815,9
1639.589443,6
1639.73607,21
1639.882698,25
1640.029326,9
1640.175953,6
1640.322581,16
1640.469208,0
1640.615836,17
1640.762463,0
1640.909091,8
1641.055718,12
1641.202346,5
1641.348974,3
1641.495601,6
1641.642229,0
1641.788856,0
1641.935484,23
1642.082111,0
1642.228739,0
1642.375367,0
1642.521994,25
1642.668622,27
1642.815249,0
1642.961877,0
1643.108504,8
1643.255132,38
1643.40176,6
1643.548387,0
1643.695015,17
1643.841642,19
1643.98827,15
1644.134897,21
1644.281525,12
1644.428152,5
1644.57478,30
1644.721408,2
1644.868035,9
1645.014663,24
1645.16129,15
1645.307918,25
1645.454545,18
1645.601173,25
1645.747801,37
1645.894428,19
1646.041056,15
1646.187683,19
1646.334311,20
1646.480938,21
1646.627566,13
1646.774194,13
1646.920821,0
1647.067449,40
1647.214076,23
1647.360704,13
1647.507331,12
1647.653959,0
1647.800587,13
1647.947214,17
1648.093842,7
1648.240469,13
1648.387097,4
1648.533724,13
1648.680352,4
1648.826979,21
1648.973607,3
1649.120235,7
1649.266862,17
1649.41349,16
1649.560117,0
1649.706745,16
1649.853372,14
1650,14
